X,Y,fid,stop_name
681368.3962,7467653.6484,436,Olímpio de Melo
681934.615,7466767.2506,437,General Bruce
681877.8177,7466941.5932,438,General José Cristino
681790.9455,7467635.2789,439,Club de Regatas Vasco da Gama
681874.0756,7467380.6573,440,Club de Regatas Vasco da Gama
681615.6051,7467586.3317,441,Club de Regatas Vasco da Gama
681650.0675,7467422.8913,442,Ponto Final: São Januário
686917.5422,7464810.4903,443,Passeio
686027.0507,7464016.6449,444,Largo do Guimarães
687030.0767,7464751.2816,445,Ponto Final: Passeio :: Linhas para Irajá
685033.9716,7463097.9754,446,Largo do França
685908.9223,7464062.957,447,Felício dos Santos
686518.0745,7464640.2204,448,Francisco Muratori
686731.6043,7464882.679,449,Arcos da Lapa
687010.2145,7461892.9395,450,Sady de Gusmão
686956.0915,7462011.7869,451,Sady de Gusmão
687012.4847,7464052.3038,452,Estação Glória
686810.5466,7462964.7565,453,Ponto Final: Largo do Machado
686884.4079,7462964.727,454,Largo do Machado
687228.8799,7463129.0221,455,Buarque de Macedo
687077.3406,7462582.0007,456,Paissandu
687196.3957,7462859.2935,457,Almirante Tamandaré
687229.6582,7462349.2952,458,Cruz Lima
687211.6556,7462477.3305,459,Tucumã
686977.5775,7464273.6927,460,Cândido Mendes
687191.8418,7462624.7704,461,Paissandu
687404.4099,7463616.2688,462,Russel
687386.85,7463664.444,463,Russel
687378.7997,7465039.7908,464,Praça 4 de Julho
687141.2594,7462004.5044,465,Honório de Barros
686887.512,7462900.6721,466,Ponto Final: Largo do Machado (Rua do Catete)
683774.3484,7461375.1103,467,Ponto Final: Silvestre
684790.1268,7461918.3367,468,Trem do Corcovado
684771.9916,7461945.14,469,Santuário São Judas Tadeu
684964.5513,7462088.9728,470,Marechal Pires Ferreira
684976.6957,7462075.5332,471,Marechal Pires Ferreira
684561.4735,7462009.7422,472,Terminal do Cosme Velho
686368.3939,7460724.8956,473,Passagem
687047.241,7460215.8647,474,Marechal Ramon Castilla
685546.8588,7462228.0097,475,Praça David Ben Gurion
685563.999,7462237.102,476,Praça David Ben Gurion
685825.8411,7462557.9431,477,Soares Cabral
686170.2195,7462699.8894,478,Laranjeiras
686324.2639,7462796.5577,479,Ipiranga
686578.746,7462885.3364,480,Ministro Tavares de Lira
686682.4894,7462945.7425,481,Gago Coutinho
685299.0178,7459959.4876,482,Real Grandeza
686580.9581,7462715.9648,483,Senador Corrêa
685160.0743,7462139.7335,484,Rumânia
683722.7421,7461567.5646,485,"Almirante Alexandrino, 5272"
685156.745,7462519.9932,486,"Alice, 1344"
684975.4412,7462357.7498,487,EDI Professora Sarita Konder
686980.2724,7464375.2216,488,Praça Edson Cortes :: Pista Central
686997.2382,7464386.5298,489,Praça Edson Cortes :: Pista Lateral
686926.7368,7463896.6486,490,Santo Amaro
686950.1333,7463797.7867,491,CIEP Presidente Trancredo Neves
686732.1629,7463676.4419,492,Bento Lisboa
686696.572,7463536.2239,493,Silveira Martins
687343.7377,7463414.7836,494,Jardins do Museu da República
687314.4375,7463418.0273,495,Jardins do Museu da República
686993.9219,7463440.6126,496,Museu da República
686698.3851,7463351.2408,497,Tavares Bastos
686955.2454,7463283.377,498,Corrêa Dutra
686693.1276,7463175.2057,499,Creche Municipal Aracy Guimarães Rosa
687552.2725,7462010.9128,500,Consulado do Peru
